Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Bromley - Copers Cope,00AFGL,E05000113,"15,950","2,500","10,750","2,650",336
Bromley - Cray Valley East,00AFGM,E05000114,"15,850","3,600","9,550","2,700",297
Bromley - Cray Valley West,00AFGN,E05000115,"17,150","4,050","10,500","2,600",303
Bromley - Crystal Palace,00AFGP,E05000116,"12,950","2,700","9,200","1,050",287
Bromley - Darwin,00AFGQ,E05000117,"5,300","1,000","3,050","1,300",337
Bromley - Farnborough and Crofton,00AFGR,E05000118,"14,850","2,550","8,700","3,600",355
Bromley - Hayes and Coney Hall,00AFGS,E05000119,"16,250","3,000","10,100","3,150",349
Bromley - Kelsey and Eden Park,00AFGT,E05000120,"16,250","3,000","10,200","3,000",355
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,"10,300","2,400","6,450","1,500",296
Bromley - Orpington,00AFGW,E05000122,"15,650","2,900","9,350","3,450",329
Bromley - Penge and Cator,00AFGX,E05000123,"17,900","3,900","12,100","1,900",323
Bromley - Petts Wood and Knoll,00AFGY,E05000124,"13,950","2,550","8,250","3,150",357
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,"15,600","3,250","9,950","2,400",327
Bromley - Shortlands,00AFHA,E05000126,"10,150","1,800","6,150","2,200",381
Bromley - West Wickham,00AFHB,E05000127,"15,250","2,600","9,450","3,200",370
Camden - Belsize,00AGGD,E05000128,"12,800","2,300","8,850","1,650",328
Camden - Bloomsbury,00AGGE,E05000129,"11,700",750,"9,800","1,100",343
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,"13,100","1,900","9,550","1,650",338
Camden - Cantelowes,00AGGG,E05000131,"12,450","1,850","9,450","1,200",317
Camden - Fortune Green,00AGGH,E05000132,"12,100","1,850","9,000","1,300",326
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,"12,250","2,000","8,500","1,750",357
Camden - Gospel Oak,00AGGK,E05000134,"11,500","2,100","7,950","1,450",323
Camden - Hampstead Town,00AGGL,E05000135,"11,400","1,950","7,550","1,900",384
Camden - Haverstock,00AGGM,E05000136,"12,750","2,400","8,900","1,450",297
Camden - Highgate,00AGGN,E05000137,"11,150","1,850","7,500","1,800",316
Camden - Holborn and Covent Garden,00AGGP,E05000138,"13,700","1,750","10,550","1,400",339
Camden - Kentish Town,00AGGQ,E05000139,"13,850","2,150","10,400","1,350",305
Camden - Kilburn,00AGGR,E05000140,"12,350","2,200","8,750","1,450",314
Camden - King's Cross,00AGGS,E05000141,"12,550","1,600","10,000",950,322
Camden - Regent's Park,00AGGT,E05000142,"14,700","2,200","11,200","1,350",320
Camden - St. Pancras and Somers Town,00AGGU,E05000143,"16,200","2,850","12,000","1,350",314
Camden - Swiss Cottage,00AGGW,E05000144,"13,200","2,200","9,400","1,550",305
