Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Lambeth,00AY,E09000022,"320,450","57,150","238,750","24,500",316
Lewisham,00AZ,E09000023,"293,050","60,600","205,500","27,000",308
Merton,00BA,E09000024,"206,200","42,450","138,600","25,150",331
Newham,00BB,E09000025,"338,000","75,100","240,500","22,400",313
Redbridge,00BC,E09000026,"292,450","67,000","189,850","35,600",339
Richmond upon Thames,00BD,E09000027,"191,600","39,250","124,250","28,100",350
Southwark,00BE,E09000028,"308,650","57,100","227,800","23,750",319
Sutton,00BF,E09000029,"196,400","40,000","126,650","29,750",342
Tower Hamlets,00BG,E09000030,"284,300","55,700","212,450","16,150",315
Waltham Forest,00BH,E09000031,"271,450","59,750","184,050","27,600",317
Wandsworth,00BJ,E09000032,"322,750","56,750","237,300","28,700",326
Westminster,00BK,E09000033,"230,550","33,900","170,350","26,300",330
London,H,E12000007,"8,632,850","1,726,900","5,923,600","982,400",324
England,921,E92000001,"54,613,400","10,335,450","34,540,350","9,737,650",310
Source:,,,"GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","Department for Education (via NeSS), and GLA calculations"
